scan,horizon,raw,excess,t,win,n,days
ARC15MIN,30m,-0.00014748356406216737,-0.00034678061749726516,-1.6504135795969936,40.2027027027027,284,9
ARC15MIN,1h,-0.0001485683949382002,-0.00021939686051306682,-0.3815030923141299,37.83783783783784,270,9
ARC15MIN,2h,-0.0004986418706886836,-0.000440279287039949,-0.408809785735151,40.54054054054054,280,9
ARC15MIN,EOD,-0.0025005798114529926,-0.0012921236431325234,-0.7846873441120571,38.85135135135135,271,9
ARC15MIN,2d,-0.0031060417202155473,-0.001964393842470886,-1.2961965702358629,36.486486486486484,246,9
NARC1HR,30m,0.00031300293342930954,0.00024432231521218827,0.9396972638881002,46.63212435233161,579,23
NARC1HR,1h,0.0001617428055014809,0.00021193384137468117,0.37559632443636204,44.559585492227974,564,23
NARC1HR,2h,-2.888021626425805e-05,4.349177867152584e-05,-0.0013644645372002486,45.42314335060449,555,23
NARC1HR,EOD,0.002292475643832276,0.00139654968515789,0.5593777697855457,47.84110535405872,575,23
NARC1HR,2d,0.004508055634951651,0.0021170117513538444,0.7560042894759068,47.84110535405872,561,23
BOTH,30m,0.00016146392382608885,4.979944975507961e-05,-0.6087515019377033,44.457142857142856,863,23
BOTH,1h,6.128234492748343e-05,7.229440551174117e-05,-0.5019057617093081,42.285714285714285,834,23
BOTH,2h,-0.0001864050824185564,-0.00011873085414190272,-0.4342774918179413,43.77142857142857,835,23
BOTH,EOD,0.0007571115440895957,0.000535284351863916,0.1817419312202355,44.800000000000004,846,23
BOTH,2d,0.002187029675383954,0.0008728658082548561,0.24504243244802962,44.0,807,23
