scan,exit,mean,median,win,t,n
ARC15MIN,30m,0.9749436580193499,0.9765744604316547,36.462093862815884,-3.6929771060778003,277
ARC15MIN,1h,0.9600745671730081,0.9606295373472566,33.95522388059701,-6.056308876950246,268
ARC15MIN,2h,0.9335681582923953,0.9480315670896999,28.968253968253972,-5.46304691813552,252
ARC15MIN,EOD,0.8412394536880907,0.8529970588235293,12.834224598930483,-8.727255254712999,187
ARC15MIN,2d,0.7657304544225264,0.7909745163442296,4.878048780487805,-10.997776918107421,123
ARC15MIN,trail 30%,0.829646000291658,0.81211968,13.261648745519713,-28.28923202384826,279
NARC1HR,30m,0.9538754315455542,0.960957756135522,34.523809523809526,-1.3935435441700466,504
NARC1HR,1h,0.9296513436203054,0.938626468310249,29.218106995884774,-2.6234383543533206,486
NARC1HR,2h,0.8884782936560967,0.9117916666666668,26.845637583892618,-7.0878192862235,447
NARC1HR,EOD,0.7483132949208063,0.7897735261401558,11.186440677966102,-6.648451011572123,295
NARC1HR,2d,0.6950159588617307,0.7225815679057785,8.064516129032258,-7.430699937144082,186
NARC1HR,trail 30%,0.8179618804393626,0.7903916985786446,15.0390625,-13.194615637615783,512
BOTH,30m,0.9613477730733921,0.9672839999999999,35.2112676056338,-4.179422359541131,781
BOTH,1h,0.9404649031854568,0.9485896296628409,30.90185676392573,-5.522480680133637,754
BOTH,2h,0.9047338671730456,0.9323596412556054,27.61087267525036,-7.57139406813358,699
BOTH,EOD,0.7843655598367445,0.8293929240070947,11.825726141078837,-6.332985664632148,482
BOTH,2d,0.7231644473859308,0.7655949601007981,6.796116504854369,-7.2063903190534,309
BOTH,trail 30%,0.8220830807412469,0.8000790697674417,14.412136536030342,-13.337002237442434,791
