symbol,type,strike,cycle,from,to,multiple,start,end,bars,dte_at_low,stock_1h_before,moneyness_at_low
SRF,CALL,3100.0,202506,0.8,25.05,31.3125,2025-06-26 11:45:00,2025-06-26 13:15:00,6,0,0.7387069360005105,-0.6354838709677346
KEI,CALL,3800.0,202506,1.35,34.15,25.296296296296294,2025-06-26 12:45:00,2025-06-26 14:45:00,1,0,-0.6080387460187908,-0.6315789473684164
HINDZINC,CALL,430.0,202507,0.1,1.8,18.0,2025-07-31 14:00:00,2025-07-31 14:30:00,1,0,0.0,-0.23255813953488857
NATIONALUM,PUT,340.0,202607,1.0,15.0,15.0,2026-07-28 11:15:00,2026-07-29 09:30:00,5,2,1.1018463371054166,0.14727540500736325
KALYANKJIL,CALL,570.0,202505,0.45,6.0,13.333333333333332,2025-05-29 13:45:00,2025-05-29 14:15:00,1,0,-0.3965805939896039,-0.8596491228070158
KALYANKJIL,CALL,540.0,202506,0.25,3.0,12.0,2025-06-26 12:45:00,2025-06-26 14:00:00,5,0,-1.5848296079149837,-0.5277777777777826
VEDL,CALL,450.0,202506,0.15,1.75,11.666666666666668,2025-06-26 13:30:00,2025-06-26 14:15:00,3,0,0.04768717215068996,-0.33333333333332993
HINDZINC,CALL,460.0,202511,0.25,2.5,10.0,2025-11-25 13:15:00,2025-11-25 14:45:00,3,2,-0.11944836572918005,-0.021739130434783593
KALYANKJIL,CALL,510.0,202508,0.6,5.9,9.833333333333334,2025-08-28 13:00:00,2025-08-28 14:15:00,5,0,0.36528778754072455,-0.33333333333332993
TECHM,CALL,1400.0,202604,1.9,18.0,9.473684210526317,2026-04-28 13:15:00,2026-04-28 15:15:00,4,2,-0.14258216297141635,0.04999999999999449
ABB,CALL,5200.0,202502,5.5,52.0,9.454545454545455,2025-02-27 09:30:00,2025-02-27 15:15:00,7,0,-2.1554169030062353,-0.48076923076922906
GODREJPROP,CALL,2200.0,202505,3.3,29.3,8.878787878787879,2025-05-29 10:00:00,2025-05-29 12:45:00,11,0,-2.4215246636771326,-1.0909090909090868
