exit,signal,trades,net_mean,net_median,win_rate,day_t,days,first_half,second_half
hold 2 sessions,"put, stock -1% in an hour",99,1.0868853872727182,0.9458735294117647,0.45454545454545453,1.3057353059279644,23,,1.0868853872727182
hold 2 sessions,"put, stock 25-bar breakdown",77,1.0837015480680705,0.924370786516854,0.3116883116883117,0.909811280558438,23,,1.0837015480680705
trail 30% off peak,"put, stock 25-bar breakdown",77,0.9744750656624398,0.8615294420600855,0.14285714285714285,0.2142912585034259,23,,0.9744750656624398
"target 1.5x, stop 0.6x","call, OTM 2-6% + momentum",305,0.9350904270279742,0.9071750000000001,0.43934426229508194,-1.0608121416450882,71,1.0820215842331915,0.899107286487921
trail 30% off peak,"call, OTM 2-6% + momentum",305,0.9199131016713972,0.8850222279492301,0.3016393442622951,-1.749795904472347,71,0.9850455581727804,0.9039622959975891
"target 1.5x, stop 0.6x","put, stock -1% in an hour",99,0.915396915195455,0.9372180451127821,0.40404040404040403,-2.775659030956428,23,,0.915396915195455
"target 2x, stop 0.6x","put, stock -1% in an hour",99,0.8972636284010779,0.9302238805970149,0.3838383838383838,-3.107838100390679,23,,0.8972636284010779
trail 30% off peak,"call, under Rs 3 + momentum",5281,0.8924053890281296,0.8072571428571429,0.1823518273054346,-12.031446151657914,332,0.9064484510337785,0.8741622470930593
trail 30% off peak,baseline: any liquid bar,423954,0.881771958067,0.82517628032345,0.15018374634983983,0.9692524503647767,349,0.8953648445278606,0.8687136618158854
"target 2x, stop 0.6x","call, OTM 2-6% + momentum",305,0.8730131070557695,0.7625647058823527,0.3114754098360656,-0.8220689306141954,71,1.0694520070410656,0.8249056213450849
trail 30% off peak,"call, stock +1% in an hour",28725,0.8713231831193797,0.8306573195876289,0.1593385552654482,-13.34965027826835,341,0.8743513543239065,0.8689526317661836
trail 30% off peak,"call, breakout + volume surge",11042,0.8712433687473456,0.8278755195804594,0.1498822677051259,-11.476263108804936,340,0.8750640276289011,0.8674240936611108
trail 30% off peak,"call, EMA20 pullback in trend",96964,0.8704757300874839,0.8237012972474317,0.1499628728187781,-18.178546551962867,341,0.8709600044631507,0.8699474725379703
trail 30% off peak,"call, stock 25-bar breakout",18767,0.870374458903509,0.829812857142857,0.1517557414610753,-14.31194817152683,341,0.874721419677932,0.865953211073719
trail 30% off peak,"call, stock +3% in a day",28642,0.8675619003050798,0.8331241612799681,0.1586481390964318,-12.740775536707636,323,0.868221506071864,0.8670690368244881
trail 30% off peak,"call, OI +20% over a day",80962,0.8664416994348726,0.8328364261695473,0.14827943973716065,-15.965766093362161,321,0.8770689575017214,0.8551047457332016
"target 3x, stop 0.7x","call, OTM 2-6% + momentum",305,0.8640915000890752,0.6979354136590783,0.2786885245901639,-1.5929723072746396,71,0.9557098133723183,0.8416543621421583
trail 30% off peak,"put, stock -1% in an hour",99,0.8628240376134718,0.8266831168831167,0.20202020202020202,-7.8664828412222265,23,,0.8628240376134718
trail 30% off peak,"call, low IV rank + breakout",1383,0.8597320856688672,0.8183168758002561,0.1540130151843818,-18.720763336019,212,0.8555554025602804,0.8638786774005908
trail 30% off peak,"call, 14+ DTE + breakout",9599,0.8575539495269681,0.8274064864864865,0.13605583914991146,-9.682807030471096,168,0.8580603908114681,0.857079888615035
"target 3x, stop 0.7x","put, stock -1% in an hour",99,0.8568249213068436,0.6920071174377223,0.30303030303030304,-4.82894766630705,23,,0.8568249213068436
trail 30% off peak,"call, OI up + premium up",31173,0.8473639436507081,0.8122506757084038,0.12196452057870594,-16.620556801276624,317,0.8539344519482247,0.8401426227678
"target 1.5x, stop 0.6x","put, stock 25-bar breakdown",77,0.8409836613069217,0.8838060200668896,0.2727272727272727,-3.2290147876223325,23,,0.8409836613069217
"target 1.5x, stop 0.6x","call, under Rs 3 + momentum",5281,0.8363641753948472,0.7312799999999999,0.28422647225904185,-21.880869881296075,332,0.8542521103955684,0.8131262136873365
"target 3x, stop 0.7x","call, 14+ DTE + breakout",9599,0.831075559461801,0.7746148091369001,0.16689238462339828,-28.991241029092485,168,0.8282970414814189,0.8336764271396856
"target 2x, stop 0.6x","put, stock 25-bar breakdown",77,0.8265526744920089,0.8603294117647058,0.2597402597402597,-3.3543551117880934,23,,0.8265526744920089
hold 2 sessions,"call, OTM 2-6% + momentum",305,0.8264462174325786,0.819714814814815,0.3016393442622951,-4.362013704794005,71,0.9780910655174329,0.7893087036158795
"target 3x, stop 0.7x","put, stock 25-bar breakdown",77,0.8253823746227394,0.6915696183206106,0.2077922077922078,-3.0395567785194064,23,,0.8253823746227394
"target 1.5x, stop 0.6x","call, stock +3% in a day",28642,0.8209818300211834,0.7998484342105263,0.20424551358145382,-26.89703306094239,323,0.8267159865284476,0.8166972156700897
"target 1.5x, stop 0.6x","call, 14+ DTE + breakout",9599,0.8205564559473135,0.827072507204611,0.18449838524846338,-33.37695390053382,168,0.8210305519835088,0.8201126722232347
"target 3x, stop 0.7x","call, stock +3% in a day",28642,0.8201186841004701,0.6976572841129696,0.1592765868305286,-36.631461849926154,323,0.8101356541790526,0.8275780956485358
"target 1.5x, stop 0.6x","call, stock +1% in an hour",28725,0.819759280021876,0.7865555056179775,0.20703220191470845,-44.77544468549584,341,0.8269361515514846,0.8141409905107693
"target 1.5x, stop 0.6x","call, stock 25-bar breakout",18767,0.81876968795564,0.7827155963302752,0.20354878243725688,-40.637538051169784,341,0.8230104578628319,0.8144564457338261
"target 3x, stop 0.7x","call, stock +1% in an hour",28725,0.8173739379016207,0.6975135279503104,0.15738903394255874,-38.898901603646614,341,0.8111743189034194,0.8222272022030304
"target 1.5x, stop 0.6x","call, breakout + volume surge",11042,0.8171799937819885,0.7768083467491127,0.2008694077159935,-38.018041505186346,340,0.8215577723782159,0.8128038007629417
"target 1.5x, stop 0.6x","call, OI +20% over a day",80962,0.8160655800748029,0.7746131861267551,0.1988587238457548,-36.11517321695506,321,0.8278834908170513,0.8034584610895885
