label,fold,auc,base,top,lift,n_test,n_picked,from,to
up5,1,0.6550761856894749,0.19151704397606037,0.36253252385082396,1.892951751574343,11529,1153,2025-11-18,2026-02-12
up5,2,0.6459550294993333,0.28051001821493626,0.48048568950563747,1.712900282718149,11529,1153,2026-02-13,2026-05-18
up5,3,0.6278121176488518,0.22267834336799855,0.34275296262534183,1.5392289947968034,10962,1097,2026-05-19,2026-08-17
up10,1,0.744231315009715,0.03946569520340012,0.1396357328707719,3.538154646740944,11529,1153,2025-11-18,2026-02-12
up10,2,0.7095235017704178,0.0695637089079712,0.17866435385949697,2.5683557801074075,11529,1153,2026-02-13,2026-05-18
up10,3,0.7032248238089346,0.039773763911694945,0.08751139471285324,2.200229148720865,10962,1097,2026-05-19,2026-08-17
dn5,1,0.6352582823843123,0.19914996964177292,0.33738074588031225,1.694103928246568,11529,1153,2025-11-18,2026-02-12
dn5,2,0.49257204729402154,0.31164888541937724,0.32870771899392887,1.05473734825522,11529,1153,2026-02-13,2026-05-18
dn5,3,0.5909013360109308,0.16018974639664293,0.23518687329079307,1.4681768251786298,10962,1097,2026-05-19,2026-08-17
dn10,1,0.7143495002499002,0.030878653829473503,0.0971379011274935,3.145794556457507,11529,1153,2025-11-18,2026-02-12
dn10,2,0.5478496518284954,0.04605776736924278,0.06157849089332177,1.3369838446499183,11529,1153,2026-02-13,2026-05-18
dn10,3,0.6093444524103946,0.016511585477102717,0.020966271649954422,1.269791546004422,10962,1097,2026-05-19,2026-08-17
